ID,population,householdsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,ViolentCrimesPerPop
1549,11500,3.34,15.07,26.62,13.39,10.69,0,0.0,46566,87.77,2.57,49.26,20.66,3.74,14.21,54804,16531,470,4.71,9.48,22.42,24.07,4.9,58.57,12.31,32.19,8.58,33.33,8.12,35.81,8.46,8.29,3.33,84.14,79.97,95.5,85.47,64.15,73.88,176,2.12,696,9.48,12.64,15.95,25.14,0.57,0.77,0.97,1.52,89.65,0.88,6.34,4.99,2.9,3.1,2.42,75.83,2.0,34.72,3,255,93.11,70.96,2.35,53.73,1962,1.33,0.62,126300,163500,209600,83300,453,585,681,228,651,24.9,22.5,13.8,10,0,6.04,75.48,59.11,79.21,92.25,17.24
1513,17906,2.42,11.58,20.95,10.0,21.35,17906,100.0,25380,64.78,0.35,45.08,42.4,5.31,23.86,30490,13557,1897,10.82,8.74,25.82,15.15,6.91,48.87,9.35,22.66,9.51,25.66,10.78,22.29,12.05,11.45,2.86,71.49,66.37,76.15,76.61,58.05,65.91,378,2.55,1908,6.6,10.22,12.11,17.45,0.7,1.09,1.29,1.86,82.44,2.09,3.53,2.45,2.37,2.4,2.29,72.47,2.57,62.52,2,1718,81.15,71.49,0.47,31.61,1976,5.45,0.29,59900,80700,111100,51200,253,355,459,206,424,29.5,25.3,12.7,5,0,10.66,25.03,48.4,70.72,78.23,985.82
745,10886,2.88,15.33,27.52,12.7,9.28,0,0.0,21946,77.74,1.6,32.86,26.78,5.47,14.01,28653,9924,2188,20.44,19.38,35.51,10.78,9.97,55.43,21.14,17.91,16.95,19.15,9.65,25.39,12.66,11.21,3.34,74.74,68.92,78.68,79.44,50.15,60.33,204,2.11,779,24.01,26.57,46.34,57.89,1.72,1.9,3.32,4.14,61.15,5.62,8.13,6.13,2.83,2.88,2.75,64.09,10.44,48.67,3,536,87.59,63.07,10.63,54.66,1966,12.53,1.0,32900,45500,66200,33300,184,255,331,147,333,29.7,17.6,11.6,0,0,7.16,77.13,57.62,82.01,94.19,1240.65
463,22906,2.84,16.24,31.45,15.07,10.56,0,0.0,18858,73.98,1.62,26.79,27.79,14.67,11.52,22074,8925,5617,25.55,17.16,33.68,13.67,8.69,58.42,25.62,23.59,22.14,20.13,10.66,29.54,12.94,11.87,3.27,66.43,60.16,69.5,68.52,56.56,65.75,1933,9.97,253,26.48,28.85,49.8,60.08,0.29,0.32,0.55,0.66,96.96,0.46,6.89,5.09,2.73,2.64,2.82,46.34,5.29,49.33,3,827,90.71,47.98,9.67,56.59,1963,11.28,0.81,30300,45200,65100,34800,149,222,302,153,348,27.7,20.4,16.9,26,0,1.1,52.64,41.83,71.16,74.08,2193.23
1359,23146,2.53,13.35,23.9,11.11,16.62,0,0.0,19205,67.87,1.06,32.97,34.84,10.45,16.75,24357,11408,5581,24.83,10.86,32.44,16.25,7.53,51.51,21.73,22.81,17.68,23.44,11.15,25.2,13.99,12.73,3.05,62.36,55.34,68.6,65.37,60.25,68.27,1338,6.64,181,11.05,11.05,28.18,34.81,0.09,0.09,0.22,0.27,97.87,0.44,5.22,3.56,2.45,2.43,2.5,63.43,4.23,49.87,3,1111,89.18,64.14,3.6,55.27,1957,14.49,0.43,28600,42300,63700,35100,135,197,275,140,310,28.1,18.1,14.0,0,0,0.78,74.38,60.45,85.9,92.2,516.96
1053,53762,3.42,15.7,28.93,13.78,6.35,53762,100.0,46988,90.27,0.59,38.79,14.43,9.71,11.33,49834,14865,3461,6.51,9.5,22.53,20.58,4.49,70.57,25.99,16.64,18.45,21.29,7.55,31.96,11.29,9.45,3.72,78.88,73.74,88.58,82.09,67.12,73.46,966,2.53,17393,14.53,24.84,37.04,47.2,4.7,8.04,11.98,15.27,55.15,7.75,13.51,11.25,3.39,3.41,3.36,67.71,15.01,42.03,3,558,96.57,67.41,0.72,34.41,1975,1.26,0.39,178400,229300,276300,97900,598,703,867,269,768,27.6,25.6,11.9,0,6,32.35,46.09,50.13,76.59,88.73,551.55
278,13035,2.72,13.82,27.46,13.19,10.93,9546,73.23,42310,84.04,0.6,45.37,25.51,3.98,16.47,47402,17313,643,4.99,6.58,17.78,24.41,6.26,66.16,25.24,24.16,11.58,30.96,6.94,29.89,9.5,8.26,3.1,83.75,80.94,91.67,86.42,59.65,72.91,167,1.89,648,11.42,16.2,20.52,26.7,0.57,0.81,1.02,1.33,93.46,0.39,3.68,2.71,2.64,2.87,2.13,74.48,0.81,38.71,3,236,95.31,68.41,0.0,38.98,1963,0.69,0.14,129500,154400,190400,60900,346,491,605,259,565,22.4,22.5,13.8,0,0,4.97,77.99,61.36,85.68,92.19,368.19
1236,12304,2.41,11.22,23.46,11.43,15.43,12301,100.0,59913,81.62,1.21,72.89,24.78,0.91,10.69,80759,38831,427,3.62,3.29,7.57,55.89,1.79,62.36,15.27,33.34,1.83,55.71,5.99,28.32,8.0,7.05,2.87,88.87,87.28,97.75,92.23,53.65,58.29,30,0.33,710,20.42,20.42,23.1,24.79,1.18,1.18,1.33,1.43,92.32,0.56,2.58,1.72,2.3,2.56,1.65,79.57,0.47,37.69,3,297,94.5,71.5,0.34,22.22,1973,0.0,0.0,153300,207400,293400,140100,446,529,634,188,598,20.2,16.7,11.7,0,0,5.77,61.43,58.25,78.04,85.25,147.83
945,11199,2.53,16.4,29.09,16.4,13.26,0,0.0,25300,73.74,1.52,39.77,30.56,10.72,18.57,32964,12299,1584,15.05,8.48,22.29,17.38,6.61,60.42,19.44,26.83,20.59,25.76,9.73,30.15,14.26,12.2,3.0,69.81,69.46,81.31,76.59,64.31,74.45,173,1.88,142,15.49,25.35,30.99,40.14,0.2,0.32,0.39,0.51,97.24,0.19,2.57,1.69,2.38,2.59,2.12,59.78,1.26,50.16,2,205,95.58,54.83,1.46,36.59,1959,8.56,0.67,42700,55900,73200,30500,168,268,335,167,333,24.8,16.1,13.0,12,0,1.27,81.53,49.67,78.55,92.42,421.76
1160,14475,2.52,13.73,25.45,11.77,13.52,0,0.0,21205,73.05,0.83,29.46,31.3,9.21,13.12,26046,11164,2964,21.06,12.27,29.52,14.83,6.93,58.03,35.05,20.19,24.1,24.02,11.57,30.59,16.22,14.08,3.02,58.28,51.61,56.25,57.78,68.41,78.91,873,6.9,282,19.15,24.82,45.74,52.84,0.37,0.48,0.89,1.03,96.01,1.16,4.78,3.31,2.46,2.48,2.42,59.14,3.49,44.22,3,488,92.16,58.52,2.46,32.58,1966,10.51,0.8,36900,52800,75600,38700,163,244,323,160,356,26.7,22.5,13.6,6,0,1.95,76.15,52.15,78.91,90.39,1240.39
237,18059,2.27,11.99,21.63,10.31,22.2,0,0.0,17884,61.27,0.28,37.25,45.71,9.39,26.73,24305,10473,3019,17.02,10.93,28.67,14.11,11.12,44.96,8.74,28.26,15.9,23.97,10.88,25.36,12.99,12.07,2.9,68.87,66.74,77.83,78.15,66.18,69.38,323,2.08,216,2.78,2.78,2.78,2.78,0.03,0.03,0.03,0.03,94.75,0.39,2.95,1.88,2.24,2.34,2.06,65.98,0.87,51.6,2,1297,85.96,63.08,2.54,66.85,1939,7.71,1.17,28800,41700,59200,30400,157,208,261,104,292,29.5,20.3,12.7,10,0,1.2,84.86,62.46,89.22,94.18,84.57
965,12220,4.32,21.23,28.04,12.06,3.71,12220,100.0,43804,90.99,2.87,42.37,13.46,3.16,11.56,45205,10626,392,3.21,1.7,9.1,22.85,3.21,70.81,14.63,22.76,11.33,29.15,3.1,26.33,5.09,4.1,4.5,93.07,91.5,97.66,94.24,49.8,62.54,45,0.44,146,0.0,0.0,0.0,4.79,0.0,0.0,0.0,0.06,96.76,0.84,31.58,29.55,4.32,4.38,3.72,92.3,4.84,12.48,4,56,98.06,91.06,7.14,60.71,1979,0.6,0.42,78000,93900,118500,40500,257,367,544,287,512,21.7,23.3,12.8,0,0,1.19,75.24,51.42,88.33,92.45,190.84
1329,258295,2.59,12.34,27.06,12.54,9.67,257892,99.84,30590,82.89,0.48,30.47,21.89,5.98,15.73,35300,14737,29084,11.47,6.86,23.7,13.37,6.57,65.99,4.28,15.3,10.66,20.58,17.41,29.56,19.41,18.4,3.1,67.72,63.59,76.93,68.88,64.51,71.22,7862,4.36,26494,18.09,27.53,35.41,47.73,1.86,2.82,3.63,4.9,84.81,3.7,6.67,4.39,2.55,2.72,2.37,53.82,7.86,54.6,2,9935,90.94,50.38,4.57,11.95,1977,5.23,0.34,71500,89200,116000,44500,330,434,548,218,490,27.3,22.2,11.6,336,236,10.26,21.14,33.43,66.68,67.66,1014.86
1537,17894,2.71,16.91,28.81,16.43,14.05,0,0.0,25878,71.32,1.03,46.28,31.76,6.54,17.22,31856,12434,2172,12.92,7.67,19.31,19.17,4.83,58.83,19.49,24.52,16.08,23.42,9.08,29.34,12.61,10.95,3.03,71.84,71.47,71.96,75.62,55.62,65.9,319,2.3,1134,30.78,42.59,56.17,61.73,1.95,2.7,3.56,3.91,91.29,2.83,5.34,3.69,2.54,2.61,2.46,58.98,3.92,46.56,3,171,97.48,57.56,1.75,21.05,1972,4.99,0.38,52200,65700,84200,32000,248,328,391,143,373,26.2,19.5,11.9,14,69,6.34,45.89,39.52,67.97,82.1,266.29
1194,15004,2.5,13.56,27.06,12.94,10.69,0,0.0,26171,78.16,0.53,36.1,26.2,6.92,14.01,31468,12045,1616,10.92,16.4,31.37,17.22,4.01,66.17,25.32,25.94,18.73,25.9,9.87,24.07,14.23,12.22,2.92,74.15,72.15,89.34,67.53,68.03,76.67,127,1.1,57,0.0,17.54,17.54,29.82,0.0,0.07,0.07,0.11,98.61,0.2,2.06,1.53,2.47,2.55,2.29,69.83,1.18,38.22,3,256,95.92,67.49,0.39,40.62,1973,4.76,0.1,50100,65500,84200,34100,200,275,359,159,347,23.1,19.6,11.6,0,0,0.38,73.37,50.91,80.68,91.43,112.94
1102,32387,2.67,13.96,28.98,14.07,11.48,32387,100.0,25029,76.99,0.58,27.95,30.37,9.2,14.17,28364,11115,5061,16.27,9.43,29.16,11.94,5.81,60.19,17.78,18.44,17.4,20.61,15.62,30.92,18.46,17.1,3.15,61.24,54.28,68.32,59.71,66.28,72.85,1988,7.7,1198,12.94,18.2,27.71,37.56,0.48,0.67,1.03,1.39,92.49,1.43,6.61,4.41,2.58,2.62,2.52,57.29,5.97,54.14,2,1715,87.6,56.31,3.21,29.04,1974,8.16,0.3,46400,59300,74100,27700,275,381,455,180,458,27.1,22.0,13.2,53,16,3.7,43.39,46.34,71.64,83.46,1440.54
209,33840,2.26,12.81,25.73,12.75,12.81,33840,100.0,27785,75.83,1.31,51.32,26.0,6.88,19.91,36784,15502,4316,13.01,3.26,11.08,33.14,6.69,61.55,7.9,25.21,8.21,38.08,13.49,29.73,17.69,15.74,2.88,68.95,68.0,77.25,65.75,65.13,76.46,642,2.66,2069,10.15,16.67,26.44,37.17,0.62,1.02,1.62,2.27,92.6,1.08,3.13,1.84,2.22,2.46,1.97,57.55,2.49,55.81,2,977,93.87,52.02,1.84,16.07,1970,2.81,0.82,59800,77800,101400,41600,300,382,457,157,456,27.5,20.1,11.8,40,8,6.11,46.54,37.78,67.87,84.2,321.96
1036,74625,2.68,13.46,28.67,12.36,4.43,74623,100.0,36716,90.93,0.78,43.46,11.99,3.17,9.57,41945,15456,4897,6.62,3.0,11.6,23.76,4.19,77.03,16.55,19.46,12.1,28.8,11.23,27.06,15.41,13.38,3.17,77.78,76.3,87.56,75.13,68.34,76.69,815,1.77,3153,18.27,23.98,31.21,44.05,0.77,1.01,1.32,1.86,90.77,1.77,4.17,2.98,2.67,2.88,2.28,70.31,2.61,41.24,3,2040,93.17,65.23,0.39,26.18,1978,1.67,0.13,70300,85700,102000,31700,341,418,520,179,477,24.2,23.1,11.8,12,0,4.23,47.72,43.33,65.11,86.32,320.3
939,11163,2.52,12.36,26.78,12.67,13.11,11163,100.0,27065,78.27,0.73,36.69,30.41,6.95,17.74,32478,13928,1024,9.3,10.33,26.53,16.5,4.88,64.77,12.48,21.48,14.27,19.71,9.89,27.09,12.43,11.27,2.98,70.83,64.02,86.79,65.76,77.18,77.86,375,4.37,147,18.37,23.13,26.53,56.46,0.24,0.3,0.35,0.74,96.24,0.5,3.46,2.46,2.49,2.51,2.45,67.99,2.68,41.18,3,286,93.94,67.44,2.45,33.22,1963,5.75,0.13,45800,56900,72400,26600,236,322,391,155,430,24.1,18.6,13.4,0,0,1.32,74.05,55.75,78.94,91.55,1292.78
479,12403,2.7,12.24,27.88,11.74,6.77,12099,97.55,50598,89.8,0.79,59.68,15.66,1.1,11.26,55048,21387,188,1.55,2.15,6.44,44.02,3.06,72.13,19.38,28.85,6.11,45.68,6.84,29.44,8.88,7.87,3.09,86.83,82.86,95.81,85.08,45.3,58.9,27,0.36,558,14.87,18.46,25.09,32.62,0.67,0.83,1.13,1.47,94.19,0.22,3.73,2.78,2.64,2.89,2.04,77.28,0.59,32.67,3,299,93.9,70.59,0.67,27.76,1976,0.93,0.0,123700,152500,189600,65900,524,585,718,194,711,23.0,23.0,11.5,0,0,4.5,60.79,46.94,66.9,82.6,71.35
59,36094,2.07,8.35,17.88,8.49,37.25,36094,100.0,20382,45.98,0.38,47.43,58.55,10.72,32.73,25761,12270,4985,14.05,11.41,32.67,9.19,9.76,32.39,11.6,23.04,15.65,20.04,10.76,17.75,13.42,12.24,2.59,62.1,58.46,66.4,65.81,47.38,56.53,789,2.54,3604,16.4,27.69,33.52,40.54,1.64,2.77,3.35,4.05,86.09,3.4,3.45,2.08,2.04,1.9,2.28,57.94,4.86,83.88,2,2295,88.35,62.33,0.61,26.27,1976,3.59,0.18,71800,89900,113900,42100,346,435,532,186,500,31.4,25.7,11.4,48,0,9.99,33.33,36.1,66.22,87.7,920.55
1562,14548,2.7,11.14,24.93,9.09,5.29,0,0.0,34182,88.48,0.88,40.48,13.23,3.85,8.43,36533,14405,1220,8.43,5.45,14.97,28.11,3.93,76.18,24.71,21.6,12.94,30.83,12.71,24.84,16.83,14.83,3.2,75.31,75.17,84.61,72.52,68.96,75.54,105,1.17,767,14.21,29.6,33.38,53.98,0.75,1.56,1.76,2.85,88.69,1.99,4.74,3.36,2.69,2.77,2.51,73.88,3.52,44.23,3,383,93.37,71.96,0.52,32.9,1978,2.58,0.0,68000,82100,94000,26000,349,449,558,209,523,28.4,23.7,14.8,9,0,5.27,42.77,41.11,73.53,82.2,367.13
755,57287,2.26,11.96,22.74,10.7,16.39,57287,100.0,23584,66.79,0.25,40.59,34.75,10.33,22.18,32972,16067,10560,18.77,9.19,22.75,28.6,7.34,53.1,8.32,29.09,7.56,36.31,11.93,28.88,15.13,13.72,2.88,63.92,61.37,68.47,68.53,51.36,62.34,2249,4.78,1021,11.07,17.14,22.14,24.49,0.2,0.31,0.39,0.44,95.75,0.41,2.69,1.64,2.21,2.39,1.98,60.01,1.07,50.44,2,2805,90.02,55.46,3.21,48.81,1951,8.29,0.4,43400,66100,96700,53300,166,261,355,189,329,24.7,15.9,11.4,156,14,1.78,77.11,56.53,84.22,90.86,1368.23
501,3485398,2.86,14.46,31.22,15.72,8.96,3485398,100.0,30925,78.71,0.61,33.34,19.53,10.68,10.5,34364,16188,643809,18.86,18.4,33.0,22.96,8.34,61.71,18.43,21.42,15.86,27.29,9.92,43.23,14.61,12.26,3.48,65.54,59.78,74.48,69.13,54.81,60.83,212238,9.32,1336665,20.75,32.13,43.01,56.44,7.96,12.32,16.49,21.64,50.09,17.45,14.44,9.19,2.8,2.87,2.76,40.31,22.26,72.02,2,82558,93.65,39.42,2.93,21.03,1959,4.11,0.98,164100,244500,388400,224300,413,544,709,296,600,30.4,25.3,11.9,4597,3109,38.35,35.47,46.34,81.86,85.0,2414.77
818,11041,2.8,12.9,26.91,13.15,11.89,11041,100.0,37775,80.1,0.47,37.82,29.98,7.64,16.8,43947,15469,669,6.1,4.96,17.16,16.29,7.67,65.05,14.77,23.03,15.08,22.16,6.47,32.52,9.54,8.08,3.29,81.11,78.33,82.45,78.42,61.6,67.92,120,1.34,656,1.83,3.51,7.01,11.28,0.11,0.21,0.42,0.67,90.45,0.63,6.27,4.7,2.79,3.05,2.04,81.6,1.55,36.96,3,100,97.52,74.8,2.0,27.0,1956,0.91,0.37,120300,139600,161000,40700,249,526,656,407,578,29.7,22.5,15.1,0,0,5.94,84.32,71.44,85.4,98.83,219.86
1262,12454,2.51,10.49,27.03,12.12,12.44,12454,100.0,42464,82.03,0.66,51.45,26.99,4.92,13.84,50134,19507,634,5.1,8.4,21.54,21.32,4.59,68.04,16.31,19.22,11.11,30.53,6.61,33.83,9.38,8.07,3.14,80.93,78.46,93.38,89.6,59.44,66.99,186,2.15,1784,11.77,17.43,24.5,29.32,1.69,2.5,3.51,4.2,81.65,2.61,5.87,3.93,2.51,2.9,2.05,62.65,2.92,54.47,2,159,96.9,54.22,1.89,52.2,1939,0.81,0.18,150100,172800,197100,47000,508,641,749,241,694,27.1,24.3,13.6,0,0,14.32,56.21,65.9,85.88,91.03,71.54
452,23451,3.37,16.11,33.41,16.36,5.26,23451,100.0,29206,84.81,0.43,24.67,18.14,16.44,11.1,31319,9968,4072,17.55,21.02,39.39,15.6,10.6,61.09,19.8,27.79,15.12,19.75,11.75,45.54,18.11,14.87,4.01,56.09,50.69,68.36,69.39,68.06,70.88,1825,10.41,7038,20.69,37.48,49.77,61.86,6.21,11.25,14.94,18.57,59.43,14.8,22.89,15.6,3.31,3.57,3.12,45.01,27.9,69.46,2,398,94.59,41.71,10.3,37.44,1958,4.77,0.49,129200,159700,190200,61000,431,532,643,212,586,30.4,24.3,12.9,57,64,30.01,41.26,49.67,74.38,87.8,2344.56
1215,54909,2.87,19.49,32.19,18.54,11.77,54909,100.0,16223,68.92,0.53,26.44,29.69,16.2,12.99,20631,10037,19241,37.76,14.15,31.32,23.71,11.99,48.29,9.44,35.44,11.54,30.35,10.31,41.96,14.84,12.86,3.39,47.94,38.13,44.74,46.06,56.43,64.96,7610,16.24,752,24.2,41.76,57.31,60.11,0.33,0.57,0.78,0.82,95.25,0.49,10.45,6.92,2.67,2.66,2.67,51.71,8.54,48.94,3,2479,88.53,51.88,7.87,50.63,1963,10.28,0.7,30700,50100,82700,52000,99,203,299,200,300,30.5,22.3,13.0,20,2,1.37,78.72,51.67,82.34,92.06,1956.24
